L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs17061510	rs1496864	0.098	0.26	0.01	0.0	0.26	206756	-
rs17061510	rs7700282	0.334	1.15	0.045	0.09	0.55	207440	-
rs17061510	rs7722476	0.176	0.45	0.017	0.02	0.37	207590	-
rs17061510	rs4276433	0.036	0.01	0.0	0.0	0.39	215397	-
rs17061510	rs919258	0.104	0.01	0.0	0.01	0.72	218885	-
rs17061510	rs297961	0.145	0.23	0.008	0.01	0.39	226281	-
rs17061510	rs17061883	0.329	0.18	0.004	0.03	0.73	227412	-
rs17061510	rs297966	0.104	0.01	0.0	0.01	0.72	228841	-
rs17061510	rs297968	0.02	0.0	0.0	0.0	0.38	230144	-
rs17061510	rs10074453	0.282	0.23	0.006	0.03	0.64	230922	-
rs17061510	rs4301242	0.104	0.01	0.0	0.01	0.72	234084	-
rs17061510	rs12654614	0.282	0.12	0.003	0.02	0.72	234784	-
rs17061510	rs12657750	0.37	0.24	0.005	0.04	0.74	237353	-
rs17061510	rs177075	0.233	0.71	0.027	0.04	0.44	238742	-
rs17061510	rs2217265	0.04	0.02	0.001	0.0	0.27	239103	-
rs17061510	rs294598	0.275	0.21	0.006	0.03	0.64	240892	-
rs17061510	rs294597	0.125	0.46	0.016	0.01	0.27	241085	-
rs17061510	rs297951	0.086	0.15	0.005	0.0	0.27	243772	-
rs17061510	rs1433779	0.987	0.19	0.017	0.05	0.97	244192	-
rs17061510	rs294594	0.219	0.12	0.004	0.02	0.61	244700	-
rs17061510	rs985254	0.042	0.03	0.001	0.0	0.26	246480	-
rs17061510	rs10037424	0.987	0.19	0.017	0.05	0.97	246739	-
rs17061510	rs294588	0.065	0.1	0.003	0.0	0.24	247644	-
rs17061510	rs294587	0.115	0.38	0.013	0.01	0.27	248187	-
rs17061510	rs6862542	0.126	0.35	0.013	0.01	0.29	257478	-
rs17061510	rs294580	0.125	0.41	0.013	0.01	0.28	263179	-
rs17061510	rs6876181	0.155	0.1	0.004	0.01	0.51	270464	-
rs17061510	rs1432655	0.024	0.01	0.0	-0.01	0.25	277911	-
rs17061510	rs1433781	0.024	0.01	0.0	-0.01	0.25	283138	-
rs17061510	rs17668553	0.352	0.39	0.017	0.04	0.69	286993	-
rs17061510	rs159199	0.062	0.07	0.003	0.0	0.26	290226	-
rs17061510	rs292410	0.014	0.0	0.0	-0.01	0.24	292514	-
rs17061510	rs6878378	0.004	0.0	0.0	0.01	0.57	295073	-
rs17061510	rs3849745	0.015	0.01	0.0	-0.01	0.2	307730	-
rs17061510	rs6880977	0.015	0.01	0.0	-0.01	0.2	308252	-
rs17061510	rs3910253	0.037	0.02	0.0	0.0	0.28	310381	-
rs17061510	rs10070913	0.604	0.45	0.017	0.07	0.89	312377	-
rs17061510	rs3910251	0.094	0.1	0.003	0.0	0.34	315650	-
rs17061510	rs693845	0.094	0.1	0.003	0.0	0.34	317071	-
rs17061510	rs158836	0.13	0.41	0.016	0.01	0.29	318380	-
rs17061510	rs158842	0.088	0.13	0.005	0.0	0.29	322009	-
rs17061510	rs158845	0.073	0.09	0.004	0.0	0.28	322727	-
rs17061510	rs166078	0.088	0.13	0.005	0.0	0.29	323485	-
rs17061510	rs149402	0.187	0.83	0.034	0.04	0.34	323704	-
rs17061510	rs566509	0.173	0.16	0.006	0.01	0.51	327828	-
rs17061510	rs158850	0.191	0.7	0.031	0.03	0.36	332661	-
rs17061510	rs6893725	0.251	0.11	0.005	0.02	0.69	333085	-
rs17061510	rs17062147	0.173	0.16	0.006	0.01	0.51	334158	-
rs17061510	rs158851	0.123	0.22	0.009	0.01	0.33	334795	-
rs17061510	rs158829	0.016	0.0	0.0	0.0	0.51	338098	-
rs17061510	rs537788	0.154	0.36	0.013	0.01	0.35	338934	-
rs17061510	rs424217	0.182	0.7	0.03	0.03	0.34	346971	-
rs17061510	rs509502	0.073	0.05	0.002	0.0	0.33	347519	-
rs17061510	rs292404	0.016	0.0	0.0	0.0	0.51	349809	-
rs17061510	rs292406	0.193	0.76	0.033	0.03	0.36	351228	-
rs17061510	rs3133041	0.029	0.01	0.0	-0.01	0.27	352555	-
rs17061510	rs558968	0.107	0.11	0.005	0.0	0.36	359207	-
rs17061510	rs10057965	0.227	0.2	0.007	0.02	0.57	368937	-
rs17061510	rs531314	1.0	1.17	0.03	0.19	0.99	373749	-
rs17061510	rs489835	0.325	0.68	0.025	0.06	0.58	375930	-
rs17061510	rs4869096	0.018	0.0	0.0	0.0	0.54	386180	-
rs17061510	rs516512	0.571	1.02	0.037	0.14	0.82	386764	-
rs17061510	rs520002	0.116	0.09	0.003	0.0	0.42	387108	-
rs17061510	rs13328108	0.38	1.25	0.043	0.12	0.61	388714	-
rs17061510	rs497083	0.088	0.08	0.003	0.0	0.34	389771	-
rs17061510	rs580015	0.04	0.01	0.001	0.0	0.32	392989	-
rs17061510	rs10515864	0.003	0.0	0.0	0.0	0.54	401984	-
rs17061510	rs17610788	0.118	0.28	0.012	0.01	0.3	414596	-
rs17061510	rs642305	0.118	0.13	0.005	0.0	0.37	415832	-
rs17061510	rs17538699	0.465	0.54	0.021	0.07	0.77	419262	-
