L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs12657750	rs4869096	0.181	0.38	0.015	0.02	0.44	148827	-
rs12657750	rs516512	0.332	0.89	0.035	0.08	0.59	149411	-
rs12657750	rs520002	0.011	0.0	0.0	0.0	0.44	149755	-
rs12657750	rs13328108	1.0	0.97	0.011	0.15	0.99	151361	-
rs12657750	rs497083	0.168	0.06	0.002	0.01	0.63	152418	-
rs12657750	rs580015	0.322	0.27	0.01	0.03	0.68	155636	-
rs12657750	rs10515864	0.072	0.08	0.003	0.0	0.33	164631	-
rs12657750	rs17610788	0.434	0.25	0.006	0.04	0.8	177243	-
rs12657750	rs642305	0.153	0.06	0.002	0.01	0.59	178479	-
rs12657750	rs17538699	0.254	0.5	0.024	0.04	0.52	181909	-
