L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs9313968	rs7700282	0.395	0.52	0.026	0.06	0.69	126206	-
rs13172782	rs7700282	0.622	0.52	0.019	0.08	0.9	122221	-
rs4307107	rs7700282	0.352	0.59	0.025	0.06	0.63	116973	-
rs299304	rs7700282	0.452	4.76	0.197	0.28	0.6	111589	-
rs427056	rs7700282	0.699	0.79	0.025	0.13	0.91	108552	-
rs2069347	rs7700282	0.207	0.22	0.009	0.02	0.52	91116	-
rs2303076	rs7700282	0.739	0.94	0.022	0.16	0.92	70661	-
rs299287	rs7700282	0.426	2.06	0.081	0.19	0.62	64892	-
rs299284	rs7700282	0.556	6.13	0.265	0.37	0.7	61661	-
rs299283	rs7700282	0.426	2.06	0.081	0.19	0.62	61455	-
rs299290	rs7700282	0.418	2.34	0.09	0.2	0.61	55795	-
rs299295	rs7700282	0.663	5.86	0.22	0.45	0.81	48595	-
rs11748030	rs7700282	1.0	0.93	0.038	0.15	0.99	41898	-
rs4599554	rs7700282	0.715	9.97	0.392	0.55	0.83	38712	-
rs10038157	rs7700282	1.0	0.58	0.021	0.09	0.98	33525	-
rs10515861	rs7700282	0.124	0.03	0.001	0.01	0.61	27564	-
rs7722729	rs7700282	0.961	22.29	0.73	0.84	1.0	15875	-
rs17061797	rs7700282	1.0	1.5	0.037	0.26	1.0	13971	-
rs4869089	rs7700282	1.0	5.45	0.127	0.71	1.0	13903	-
rs7716203	rs7700282	1.0	7.5	0.192	0.78	1.0	10427	-
rs729352	rs7700282	1.0	2.81	0.068	0.5	1.0	9096	-
rs1496864	rs7700282	1.0	13.42	0.399	0.86	1.0	684	86.59
rs7700282	rs7700282	1	1	1	1	1	1
rs7700282	rs7722476	1.0	7.89	0.214	0.79	1.0	150	71.2
rs7700282	rs4276433	1.0	3.21	0.07	0.55	1.0	7957	-
rs7700282	rs919258	1.0	0.96	0.015	0.15	0.99	11445	-
rs7700282	rs297961	1.0	0.74	0.027	0.12	0.99	18841	-
rs7700282	rs17061883	1.0	0.89	0.014	0.13	0.99	19972	-
rs7700282	rs297966	1.0	0.96	0.015	0.15	0.99	21401	-
rs7700282	rs297968	1.0	3.31	0.071	0.56	1.0	22704	-
rs7700282	rs10074453	1.0	2.05	0.032	0.38	1.0	23482	-
rs7700282	rs4301242	1.0	0.96	0.015	0.15	0.99	26644	-
rs7700282	rs12654614	1.0	0.81	0.013	0.12	0.99	27344	-
rs7700282	rs12657750	1.0	0.96	0.015	0.15	0.99	29913	-
rs7700282	rs177075	0.961	22.59	0.73	0.84	1.0	31302	-
rs7700282	rs2217265	1.0	8.33	0.21	0.79	1.0	31663	-
rs7700282	rs294598	0.338	0.09	0.003	0.03	0.84	33452	-
rs7700282	rs294597	0.845	8.86	0.285	0.65	0.94	33645	-
rs7700282	rs297951	1.0	10.14	0.253	0.82	1.0	36332	-
rs7700282	rs1433779	1.0	0.62	0.007	0.09	0.99	36752	-
rs7700282	rs294594	0.154	0.02	0.001	0.02	0.81	37260	-
rs7700282	rs985254	1.0	8.37	0.218	0.8	1.0	39040	-
rs7700282	rs10037424	1.0	0.62	0.007	0.09	0.99	39299	-
rs7700282	rs294588	0.756	5.28	0.165	0.51	0.89	40204	-
rs7700282	rs294587	0.793	7.77	0.246	0.58	0.91	40747	-
rs7700282	rs6862542	1.0	12.31	0.325	0.85	1.0	50038	-
rs7700282	rs294580	0.781	6.84	0.21	0.56	0.9	55739	-
rs7700282	rs6876181	1.0	2.73	0.062	0.49	1.0	63024	-
rs7700282	rs1432655	0.661	1.79	0.059	0.26	0.86	70471	-
rs7700282	rs1433781	0.661	1.79	0.059	0.26	0.86	75698	-
rs7700282	rs17668553	1.0	0.23	0.009	0.05	0.97	79553	-
rs7700282	rs159199	0.872	6.78	0.207	0.64	0.96	82786	-
rs7700282	rs292410	1.0	5.68	0.121	0.72	1.0	85074	-
rs7700282	rs6878378	0.239	0.03	0.002	0.03	0.94	87633	-
rs7700282	rs3849745	1.0	4.36	0.093	0.65	1.0	100290	-
rs7700282	rs6880977	1.0	4.36	0.093	0.65	1.0	100812	-
rs7700282	rs3910253	0.893	3.83	0.113	0.55	0.97	102941	-
rs7700282	rs10070913	0.053	0.03	0.002	0.0	0.31	104937	-
rs7700282	rs3910251	1.0	5.28	0.13	0.7	1.0	108210	-
rs7700282	rs693845	1.0	5.28	0.13	0.7	1.0	109631	-
rs7700282	rs158836	0.645	5.16	0.177	0.42	0.8	110940	-
rs7700282	rs158842	0.937	8.28	0.244	0.73	0.99	114569	-
rs7700282	rs158845	0.936	8.09	0.239	0.72	0.99	115287	-
rs7700282	rs166078	0.937	8.28	0.244	0.73	0.99	116045	-
rs7700282	rs149402	0.842	8.34	0.277	0.64	0.94	116264	-
rs7700282	rs566509	1.0	0.36	0.015	0.07	0.98	120388	-
rs7700282	rs158850	0.855	10.08	0.341	0.67	0.94	125221	-
rs7700282	rs6893725	0.565	0.33	0.009	0.06	0.88	125645	-
rs7700282	rs17062147	1.0	0.36	0.015	0.07	0.98	126718	-
rs7700282	rs158851	0.861	5.89	0.177	0.61	0.95	127355	-
rs7700282	rs158829	1.0	1.14	0.032	0.19	0.99	130658	-
rs7700282	rs537788	0.922	5.87	0.189	0.66	0.98	131494	-
rs7700282	rs424217	0.85	9.27	0.314	0.66	0.94	139531	-
rs7700282	rs509502	0.902	4.26	0.133	0.58	0.98	140079	-
rs7700282	rs292404	1.0	1.14	0.032	0.19	0.99	142369	-
rs7700282	rs292406	0.851	9.42	0.322	0.66	0.94	143788	-
rs7700282	rs3133041	1.0	1.09	0.035	0.18	0.99	145115	-
rs7700282	rs558968	0.902	4.26	0.133	0.58	0.98	151767	-
rs7700282	rs10057965	0.752	1.08	0.029	0.18	0.93	161497	-
rs7700282	rs531314	0.814	0.15	0.008	0.05	0.97	166309	-
rs7700282	rs489835	0.187	0.09	0.003	0.01	0.6	168490	-
rs7700282	rs4869096	0.085	0.17	0.006	0.0	0.27	178740	-
rs7700282	rs516512	0.56	0.59	0.014	0.09	0.84	179324	-
rs7700282	rs520002	0.319	0.32	0.009	0.04	0.65	179668	-
rs7700282	rs13328108	0.04	0.03	0.001	0.0	0.27	181274	-
rs7700282	rs497083	0.094	0.05	0.002	0.0	0.44	182331	-
rs7700282	rs580015	0.137	0.09	0.003	0.01	0.48	185549	-
rs7700282	rs10515864	0.082	0.15	0.006	0.0	0.27	194544	-
rs7700282	rs17610788	0.15	0.31	0.011	0.01	0.37	207156	-
rs7700282	rs642305	0.049	0.01	0.0	0.0	0.44	208392	-
rs7700282	rs17538699	0.462	0.32	0.008	0.05	0.81	211822	-
